variant,seed_start,run_id,n_interactions,n_accept,n_reject,accept_ratio,n_success,success_ratio,mean_total_utility,sum_reward,cooperation_rate,seed
neural_marl_no_social,3000,2,3506,3506,0,1.0,2448,0.6982316029663435,0.8571409470977227,3005.1361605246157,0.6992857142857143,1400002
neural_marl_no_social,3000,3,3521,3521,0,1.0,2409,0.6841806305026981,0.8562525542664351,3014.8652435721183,0.6843095238095238,1400003
neural_marl_no_social,3000,4,3516,3516,0,1.0,2450,0.6968145620022753,0.8555119838231044,3007.980135122035,0.6972380952380952,1400004
neural_marl_no_social,3000,5,3485,3485,0,1.0,2417,0.6935437589670015,0.8585830920077269,2992.1620756469283,0.6922261904761905,1400005
neural_marl_no_social,3000,6,3490,3490,0,1.0,2387,0.6839541547277938,0.8564847316298229,2989.131713388082,0.6852261904761905,1400006
neural_marl_no_social,3000,7,3493,3493,0,1.0,2457,0.7034068136272545,0.8563938679222508,2991.383780652422,0.7037976190476191,1400007
neural_marl_no_social,3000,8,3509,3509,0,1.0,2499,0.7121687090339128,0.8552092296264477,3000.929186759205,0.7109404761904762,1400008
neural_marl_no_social,3000,9,3473,3473,0,1.0,2463,0.7091851425280737,0.856810265741625,2975.702052920664,0.7092380952380952,1400009
neural_marl_no_social,6000,0,3497,3497,0,1.0,2436,0.6965970832141836,0.8559657514121592,2993.312232688321,0.69575,1400000
neural_marl_no_social,6000,1,3472,3472,0,1.0,2415,0.6955645161290323,0.8578076151505468,2978.3080398026987,0.6952619047619047,1400001
neural_marl_no_social,6000,2,3506,3506,0,1.0,2455,0.7002281802624073,0.8581246202423618,3008.5849185697207,0.701202380952381,1400002
neural_marl_no_social,6000,3,3521,3521,0,1.0,2411,0.6847486509514342,0.8572103192804496,3018.237534186463,0.6847857142857143,1400003
neural_marl_no_social,6000,4,3516,3516,0,1.0,2461,0.699943117178612,0.8562581339701351,3010.603599038995,0.7004404761904762,1400004
neural_marl_no_social,6000,5,3485,3485,0,1.0,2422,0.6949784791965566,0.8588949161212062,2993.2487826824035,0.6933690476190476,1400005
neural_marl_no_social,6000,6,3490,3490,0,1.0,2389,0.6845272206303725,0.8571153931563149,2991.332722115539,0.68575,1400006
neural_marl_no_social,6000,7,3493,3493,0,1.0,2453,0.7022616661895219,0.8574926217849654,2995.221727894884,0.7024761904761905,1400007
neural_marl_no_social,6000,8,3509,3509,0,1.0,2506,0.7141635793673411,0.8566367435423183,3005.938333089995,0.7126785714285714,1400008
neural_marl_no_social,6000,9,3473,3473,0,1.0,2465,0.7097610135329686,0.8576443613810089,2978.5988670762436,0.7097261904761905,1400009
neural_marl_no_social,9000,0,3497,3497,0,1.0,2452,0.7011724335144409,0.8598192580828798,3006.787945515831,0.7004285714285714,1400000
neural_marl_no_social,9000,1,3472,3472,0,1.0,2441,0.7030529953917051,0.8628772524290981,2995.909820433829,0.702952380952381,1400001
neural_marl_no_social,9000,2,3506,3506,0,1.0,2468,0.703936109526526,0.862886060947593,3025.2785296822613,0.7047738095238095,1400002
neural_marl_no_social,9000,3,3521,3521,0,1.0,2428,0.6895768247656916,0.8618228364664822,3034.4782071984837,0.68975,1400003
neural_marl_no_social,9000,4,3516,3516,0,1.0,2474,0.7036405005688282,0.8611907961387082,3027.946839223698,0.7040952380952381,1400004
neural_marl_no_social,9000,5,3485,3485,0,1.0,2441,0.7004304160688666,0.8635684094410191,3009.535906901952,0.6992142857142857,1400005
neural_marl_no_social,9000,6,3490,3490,0,1.0,2399,0.6873925501432665,0.8618833093118694,3007.9727494984245,0.6886547619047619,1400006
neural_marl_no_social,9000,7,3493,3493,0,1.0,2471,0.7074148296593187,0.8622637499147902,3011.887278452362,0.7078571428571429,1400007
neural_marl_no_social,9000,8,3509,3509,0,1.0,2521,0.7184383015104018,0.8613565624850514,3022.5001777600455,0.7169404761904762,1400008
neural_marl_no_social,9000,9,3473,3473,0,1.0,2477,0.713216239562338,0.8617895483191633,2992.995101312454,0.7132380952380952,1400009
