ablation_variant,load_level,run_id,seed,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes
full_proposed,extreme,36,1036,10.488000,5.998000,9.226000,5.998000,3.228000,1.186000,0.648340,0.572041,0.575778,0.552341,0.923942,0.685112,0.507652,0.577586,0.507652,0.463106,0.078722,0.573652,0.564539,0.441799,0.716618,0.696568,0.690204,0.977754,0.492348,0.748388,0.093408,0.451209,0.601296,47.984000,0.648340,96.584061,49.282000
full_proposed,extreme,37,1037,10.458000,6.054000,9.436000,6.054000,3.382000,0.932000,0.641090,0.579534,0.584271,0.559292,0.917225,0.698130,0.524083,0.582992,0.524083,0.433538,0.075467,0.555635,0.539768,0.468166,0.712413,0.697442,0.685107,0.977837,0.475917,0.744842,0.094947,0.455650,0.616661,48.432000,0.641090,95.448812,49.276000
full_proposed,extreme,38,1038,10.506000,6.284000,9.442000,6.284000,3.158000,0.960000,0.664232,0.597195,0.602548,0.576279,0.931563,0.685399,0.522822,0.581085,0.522822,0.447724,0.078650,0.566018,0.550503,0.464641,0.716890,0.697444,0.696778,0.977774,0.477178,0.754946,0.095424,0.462600,0.613686,50.272000,0.664232,97.017524,49.240000
full_proposed,extreme,39,1039,10.588000,6.026000,9.452000,6.026000,3.426000,1.028000,0.636827,0.569156,0.574866,0.549399,0.925572,0.687909,0.531429,0.586028,0.531429,0.448227,0.078023,0.565778,0.558653,0.468486,0.709061,0.694578,0.680912,0.977743,0.468571,0.742541,0.095160,0.463287,0.616398,48.208000,0.636827,96.033939,48.914000
full_proposed,extreme,40,1040,10.374000,5.940000,9.176000,5.940000,3.236000,1.132000,0.649392,0.573193,0.576654,0.553328,0.921771,0.686484,0.519107,0.582496,0.519107,0.444680,0.078379,0.563350,0.553341,0.453108,0.714190,0.698219,0.687096,0.977630,0.480893,0.746792,0.092967,0.451486,0.601694,47.520000,0.649392,97.308971,49.356000
full_proposed,extreme,41,1041,10.422000,5.882000,9.218000,5.882000,3.336000,1.080000,0.640323,0.564625,0.571323,0.545289,0.915737,0.687437,0.528629,0.588029,0.528629,0.440351,0.078141,0.562153,0.559995,0.461685,0.707874,0.693068,0.677539,0.977836,0.471371,0.739536,0.092859,0.443906,0.605911,47.056000,0.640323,96.741405,49.120000
full_proposed,extreme,42,1042,10.490000,6.008000,9.260000,6.008000,3.252000,1.184000,0.649136,0.573056,0.575377,0.553172,0.936421,0.698076,0.528898,0.590919,0.528898,0.437072,0.075481,0.564511,0.570878,0.460420,0.713070,0.696540,0.688716,0.977622,0.471102,0.750506,0.094077,0.457573,0.605398,48.064000,0.649136,97.085722,49.430000
full_proposed,extreme,43,1043,10.468000,5.794000,9.178000,5.794000,3.384000,1.208000,0.628280,0.552633,0.556864,0.533724,0.917892,0.690939,0.518625,0.581074,0.518625,0.445348,0.077265,0.562223,0.548406,0.448680,0.710786,0.696057,0.679714,0.977838,0.481375,0.739123,0.092482,0.450398,0.592623,46.352000,0.628280,96.702331,49.240000
full_proposed,extreme,44,1044,10.590000,6.090000,9.556000,6.090000,3.466000,0.920000,0.634892,0.573456,0.579474,0.553317,0.934168,0.695863,0.523663,0.581595,0.523663,0.438995,0.076034,0.558181,0.535994,0.466726,0.710109,0.694499,0.681279,0.977751,0.476337,0.740695,0.096411,0.467820,0.623308,48.720000,0.634892,96.143652,49.004000
full_proposed,extreme,45,1045,10.482000,6.066000,9.342000,6.066000,3.276000,1.068000,0.649891,0.578330,0.582049,0.558387,0.924486,0.689963,0.530039,0.588444,0.530039,0.446678,0.077509,0.569132,0.578324,0.466464,0.712489,0.697906,0.686876,0.977867,0.469961,0.748096,0.093806,0.458168,0.600129,48.528000,0.649891,96.211297,49.212000
full_proposed,extreme,46,1046,10.524000,6.108000,9.418000,6.108000,3.310000,1.032000,0.647918,0.579420,0.583214,0.559399,0.919962,0.697479,0.519277,0.579531,0.519277,0.441477,0.075630,0.559323,0.543911,0.459779,0.714447,0.697580,0.688298,0.977812,0.480723,0.747782,0.094830,0.460708,0.610104,48.864000,0.647918,97.221108,49.382000
full_proposed,extreme,47,1047,10.424000,5.916000,9.148000,5.916000,3.232000,1.180000,0.644430,0.567539,0.572655,0.548155,0.922089,0.694171,0.521245,0.584283,0.521245,0.439964,0.076457,0.564159,0.567846,0.450890,0.713595,0.696082,0.687049,0.977798,0.478755,0.748813,0.091915,0.442810,0.597699,47.328000,0.644430,96.540025,49.032000
full_proposed,extreme,48,1048,10.508000,5.964000,9.114000,5.964000,3.150000,1.350000,0.652850,0.566904,0.569333,0.547698,0.919897,0.695539,0.530915,0.590614,0.530915,0.446357,0.076115,0.566633,0.574583,0.452318,0.714084,0.699095,0.689592,0.977782,0.469085,0.753021,0.091526,0.444861,0.592203,47.712000,0.652850,95.836576,49.482000
full_proposed,extreme,49,1049,10.496000,5.894000,9.186000,5.894000,3.292000,1.262000,0.640871,0.561340,0.563586,0.542226,0.920317,0.690146,0.526639,0.587186,0.526639,0.437630,0.077464,0.556891,0.537607,0.452548,0.711396,0.697577,0.683394,0.977888,0.473361,0.743308,0.092727,0.447379,0.591356,47.152000,0.640871,95.745558,49.344000
full_proposed,high,0,1000,7.062000,4.858000,6.706000,4.858000,1.848000,0.356000,0.723576,0.686667,0.686667,0.666247,0.872766,0.700128,0.472070,0.540208,0.472070,0.481227,0.074968,0.582722,0.601932,0.445192,0.753980,0.750580,0.731311,0.981892,0.527930,0.788011,0.061865,0.263299,0.348545,38.864000,0.723576,95.361105,50.000000
full_proposed,high,1,1001,7.002000,4.740000,6.502000,4.740000,1.762000,0.500000,0.727712,0.676131,0.676131,0.656366,0.859576,0.705464,0.465477,0.540338,0.465477,0.486108,0.073634,0.579905,0.592501,0.427068,0.755185,0.750593,0.731112,0.981880,0.534523,0.788904,0.059826,0.253762,0.340656,37.920000,0.727712,96.614850,50.000000
full_proposed,high,2,1002,6.966000,4.780000,6.604000,4.780000,1.824000,0.362000,0.726807,0.687667,0.687667,0.667135,0.875630,0.703370,0.463247,0.530718,0.463247,0.477314,0.074158,0.575555,0.569344,0.436542,0.756196,0.753264,0.732681,0.981835,0.536753,0.786240,0.060590,0.259267,0.346547,38.240000,0.726807,97.128477,50.000000
full_proposed,high,3,1003,6.898000,4.886000,6.648000,4.886000,1.762000,0.250000,0.734967,0.708714,0.708714,0.687391,0.857447,0.700450,0.461637,0.533971,0.461637,0.491815,0.074887,0.589024,0.613454,0.442473,0.756681,0.749829,0.735547,0.981862,0.538363,0.789418,0.061548,0.262215,0.344707,39.088000,0.734967,96.917686,50.000000
full_proposed,high,4,1004,7.002000,4.924000,6.678000,4.924000,1.754000,0.324000,0.736550,0.702690,0.702690,0.681744,0.876275,0.696585,0.463855,0.543167,0.463855,0.483078,0.075854,0.584839,0.608104,0.438581,0.757311,0.751532,0.736682,0.981911,0.536145,0.791016,0.061774,0.261251,0.346320,39.392000,0.736550,96.788195,50.000000
full_proposed,high,5,1005,7.040000,4.918000,6.734000,4.918000,1.816000,0.306000,0.729645,0.697524,0.697524,0.676741,0.861244,0.697440,0.466577,0.537179,0.466577,0.492526,0.075640,0.593142,0.621833,0.443509,0.755662,0.751842,0.732569,0.981968,0.533423,0.788753,0.062167,0.262245,0.349165,39.344000,0.729645,96.949948,50.000000
full_proposed,high,6,1006,7.032000,4.878000,6.738000,4.878000,1.860000,0.294000,0.725950,0.695750,0.695750,0.674737,0.873997,0.691089,0.464729,0.536070,0.464729,0.480837,0.077228,0.579694,0.585879,0.443065,0.755227,0.749631,0.732664,0.981780,0.535271,0.788038,0.062715,0.265774,0.353531,39.024000,0.725950,97.100449,49.994000
full_proposed,high,7,1007,7.032000,4.772000,6.694000,4.772000,1.922000,0.338000,0.713364,0.678548,0.678548,0.658220,0.868719,0.700365,0.462381,0.535131,0.462381,0.477345,0.074909,0.578310,0.586119,0.436819,0.754233,0.750928,0.728183,0.981828,0.537619,0.783492,0.061973,0.262816,0.350617,38.176000,0.713364,96.120383,50.000000
full_proposed,high,8,1008,6.990000,4.868000,6.558000,4.868000,1.690000,0.432000,0.744595,0.697083,0.697083,0.676539,0.875953,0.699173,0.467126,0.541253,0.467126,0.481550,0.075207,0.581580,0.592855,0.434591,0.757565,0.751361,0.738882,0.981866,0.532874,0.793207,0.060549,0.258300,0.340649,38.944000,0.744595,96.812857,50.000000
full_proposed,high,9,1009,7.020000,4.786000,6.626000,4.786000,1.840000,0.394000,0.721176,0.681393,0.681393,0.661245,0.863459,0.701003,0.471682,0.538480,0.471682,0.475559,0.074749,0.581185,0.600824,0.440964,0.753587,0.749210,0.730507,0.981975,0.528318,0.788533,0.061363,0.256336,0.346652,38.288000,0.721176,97.120079,50.000000
full_proposed,high,10,1010,6.924000,4.828000,6.648000,4.828000,1.820000,0.276000,0.726617,0.698012,0.698012,0.676785,0.864407,0.693567,0.472839,0.536150,0.472839,0.484862,0.076608,0.584469,0.597812,0.450870,0.753000,0.749033,0.730754,0.981686,0.527161,0.786426,0.061772,0.261711,0.351741,38.624000,0.726617,96.778748,49.996000
full_proposed,high,11,1011,6.960000,4.906000,6.694000,4.906000,1.788000,0.266000,0.731240,0.702845,0.702845,0.681674,0.862405,0.709026,0.475931,0.545387,0.475931,0.477000,0.072743,0.579627,0.596474,0.454139,0.755661,0.751280,0.737160,0.981830,0.524069,0.793052,0.061862,0.262721,0.349559,39.248000,0.731240,95.932632,50.000000
