load_level,ablation_variant,metric,mean,std,count,ci95_low,ci95_high
low,without_incentive,reliability_score,0.821420,0.016302,50,0.816901,0.825939
low,without_incentive,resource_efficiency,0.805833,0.015982,50,0.801403,0.810263
low,without_incentive,fairness_index,0.737130,0.025420,50,0.730084,0.744176
low,without_incentive,trust_stability_index,0.796364,0.005351,50,0.794881,0.797848
low,without_incentive,privacy_exposure_risk,0.319184,0.006477,50,0.317389,0.320980
low,without_incentive,candidate_privacy_risk,0.379979,0.008711,50,0.377564,0.382393
low,without_incentive,accepted_privacy_exposure,0.319184,0.006477,50,0.317389,0.320980
low,without_incentive,avg_trust,0.574684,0.006840,50,0.572788,0.576580
low,without_incentive,trust_variance,0.050909,0.001338,50,0.050538,0.051280
low,without_incentive,avg_preference,0.610229,0.005527,50,0.608698,0.611761
low,without_incentive,avg_reciprocity,0.652806,0.014063,50,0.648908,0.656705
low,without_incentive,avg_privacy_risk,0.319128,0.006474,50,0.317334,0.320923
low,without_incentive,avg_total_utility,0.753401,0.002888,50,0.752600,0.754201
low,without_incentive,avg_system_utility,0.815662,0.002175,50,0.815059,0.816265
low,without_incentive,avg_social_utility,0.743768,0.007918,50,0.741573,0.745962
low,without_incentive,avg_resource_utility,0.988701,0.000561,50,0.988546,0.988857
low,without_incentive,avg_privacy_utility,0.680656,0.006440,50,0.678871,0.682441
low,without_incentive,avg_incentive_utility,0.499920,0.000274,50,0.499844,0.499996
low,without_incentive,energy_consumed,0.010670,0.000192,50,0.010617,0.010724
low,without_incentive,bandwidth_consumed,0.034475,0.000572,50,0.034317,0.034634
low,without_incentive,compute_consumed,0.046094,0.000969,50,0.045826,0.046363
low,without_incentive,throughput_mbps,9.813120,0.242036,50,9.746031,9.880209
low,without_incentive,packet_delivery_ratio,0.821580,0.016321,50,0.817056,0.826104
low,without_incentive,e2e_delay_ms,86.246972,1.767396,50,85.757075,86.736870
low,without_incentive,active_nodes,50.000000,0.000000,50,50.000000,50.000000
medium,without_incentive,generated_tasks,4.008240,0.033616,50,3.998922,4.017558
medium,without_incentive,completed_tasks,3.105440,0.043586,50,3.093359,3.117521
medium,without_incentive,attempted_interactions,3.970120,0.030990,50,3.961530,3.978710
medium,without_incentive,successful_cooperations,3.105440,0.043586,50,3.093359,3.117521
medium,without_incentive,failed_interactions,0.864680,0.035531,50,0.854831,0.874529
medium,without_incentive,blocked_privacy_interactions,0.038120,0.015277,50,0.033886,0.042354
medium,without_incentive,cooperation_rate,0.782325,0.008806,50,0.779884,0.784766
medium,without_incentive,task_completion_ratio,0.774781,0.009525,50,0.772140,0.777421
medium,without_incentive,reliability_score,0.774781,0.009525,50,0.772140,0.777421
medium,without_incentive,resource_efficiency,0.755663,0.009268,50,0.753094,0.758232
medium,without_incentive,fairness_index,0.818897,0.015727,50,0.814538,0.823256
medium,without_incentive,trust_stability_index,0.721744,0.005757,50,0.720148,0.723339
medium,without_incentive,privacy_exposure_risk,0.394131,0.006956,50,0.392203,0.396059
medium,without_incentive,candidate_privacy_risk,0.463703,0.006427,50,0.461922,0.465484
medium,without_incentive,accepted_privacy_exposure,0.394131,0.006956,50,0.392203,0.396059
medium,without_incentive,avg_trust,0.530020,0.006922,50,0.528101,0.531939
medium,without_incentive,trust_variance,0.069564,0.001439,50,0.069165,0.069963
medium,without_incentive,avg_preference,0.601885,0.005513,50,0.600357,0.603413
medium,without_incentive,avg_reciprocity,0.637621,0.014250,50,0.633671,0.641570
medium,without_incentive,avg_privacy_risk,0.389973,0.007002,50,0.388032,0.391913
medium,without_incentive,avg_total_utility,0.734994,0.002637,50,0.734263,0.735725
medium,without_incentive,avg_system_utility,0.788026,0.001655,50,0.787567,0.788484
medium,without_incentive,avg_social_utility,0.754016,0.006008,50,0.752350,0.755681
medium,without_incentive,avg_resource_utility,0.985425,0.000283,50,0.985346,0.985503
medium,without_incentive,avg_privacy_utility,0.605829,0.006950,50,0.603903,0.607755
medium,without_incentive,avg_incentive_utility,0.499980,0.000141,50,0.499941,0.500019
medium,without_incentive,energy_consumed,0.033322,0.000324,50,0.033233,0.033412
medium,without_incentive,bandwidth_consumed,0.122149,0.001342,50,0.121777,0.122521
medium,without_incentive,compute_consumed,0.162595,0.001378,50,0.162213,0.162977
medium,without_incentive,throughput_mbps,24.843520,0.348690,50,24.746868,24.940172
medium,without_incentive,packet_delivery_ratio,0.782325,0.008806,50,0.779884,0.784766
medium,without_incentive,e2e_delay_ms,96.039322,0.688087,50,95.848594,96.230050
medium,without_incentive,active_nodes,50.000000,0.000000,50,50.000000,50.000000
extreme,without_preference,generated_tasks,10.503000,0.048893,50,10.489447,10.516553
extreme,without_preference,completed_tasks,6.048080,0.144314,50,6.008078,6.088082
extreme,without_preference,attempted_interactions,9.424720,0.175751,50,9.376004,9.473436
extreme,without_preference,successful_cooperations,6.048080,0.144314,50,6.008078,6.088082
extreme,without_preference,failed_interactions,3.376640,0.090620,50,3.351521,3.401759
extreme,without_preference,blocked_privacy_interactions,1.002400,0.176769,50,0.953402,1.051398
extreme,without_preference,cooperation_rate,0.641572,0.008233,50,0.639290,0.643854
extreme,without_preference,task_completion_ratio,0.575823,0.013944,50,0.571958,0.579688
extreme,without_preference,reliability_score,0.579819,0.014323,50,0.575849,0.583789
extreme,without_preference,resource_efficiency,0.555766,0.013232,50,0.552098,0.559434
extreme,without_preference,fairness_index,0.925715,0.006577,50,0.923892,0.927538
extreme,without_preference,trust_stability_index,0.692606,0.007880,50,0.690422,0.694790
extreme,without_preference,privacy_exposure_risk,0.521029,0.006380,50,0.519261,0.522797
extreme,without_preference,candidate_privacy_risk,0.580899,0.005377,50,0.579408,0.582389
extreme,without_preference,accepted_privacy_exposure,0.521029,0.006380,50,0.519261,0.522797
extreme,without_preference,avg_trust,0.445209,0.009108,50,0.442684,0.447733
extreme,without_preference,trust_variance,0.076848,0.001970,50,0.076302,0.077395
extreme,without_preference,avg_preference,0.562509,0.007553,50,0.560415,0.564602
extreme,without_preference,avg_reciprocity,0.547894,0.015960,50,0.543470,0.552318
extreme,without_preference,avg_privacy_risk,0.462039,0.010942,50,0.459006,0.465072
extreme,without_preference,avg_total_utility,0.667873,0.002452,50,0.667194,0.668553
extreme,without_preference,avg_system_utility,0.692885,0.002127,50,0.692295,0.693474
extreme,without_preference,avg_social_utility,0.486178,0.004226,50,0.485006,0.487349
extreme,without_preference,avg_resource_utility,0.977798,0.000116,50,0.977766,0.977830
extreme,without_preference,avg_privacy_utility,0.478971,0.006380,50,0.477203,0.480739
extreme,without_preference,avg_incentive_utility,0.747427,0.004293,50,0.746237,0.748617
extreme,without_preference,energy_consumed,0.095026,0.001793,50,0.094529,0.095523
extreme,without_preference,bandwidth_consumed,0.459687,0.008727,50,0.457268,0.462106
extreme,without_preference,compute_consumed,0.613118,0.012283,50,0.609713,0.616523
extreme,without_preference,throughput_mbps,48.384640,1.154514,50,48.064625,48.704655
extreme,without_preference,packet_delivery_ratio,0.641572,0.008233,50,0.639290,0.643854
extreme,without_preference,e2e_delay_ms,96.333025,0.503437,50,96.193479,96.472570
extreme,without_preference,active_nodes,49.313440,0.160064,50,49.269072,49.357808
high,without_preference,generated_tasks,7.002480,0.036999,50,6.992224,7.012736
high,without_preference,completed_tasks,4.831640,0.088429,50,4.807129,4.856151
high,without_preference,attempted_interactions,6.680360,0.075853,50,6.659334,6.701386
high,without_preference,successful_cooperations,4.831640,0.088429,50,4.807129,4.856151
high,without_preference,failed_interactions,1.848720,0.066758,50,1.830216,1.867224
high,without_preference,blocked_privacy_interactions,0.321960,0.066295,50,0.303584,0.340336
high,without_preference,cooperation_rate,0.723417,0.009925,50,0.720665,0.726168
high,without_preference,task_completion_ratio,0.689970,0.012178,50,0.686594,0.693345
high,without_preference,reliability_score,0.689987,0.012176,50,0.686612,0.693362
high,without_preference,resource_efficiency,0.669296,0.011717,50,0.666048,0.672543
high,without_preference,fairness_index,0.868870,0.012029,50,0.865536,0.872204
high,without_preference,trust_stability_index,0.701528,0.005653,50,0.699961,0.703095
high,without_preference,privacy_exposure_risk,0.466802,0.006826,50,0.464909,0.468694
high,without_preference,candidate_privacy_risk,0.536583,0.004361,50,0.535374,0.537792
high,without_preference,accepted_privacy_exposure,0.466802,0.006826,50,0.464909,0.468694
high,without_preference,avg_trust,0.480682,0.008006,50,0.478462,0.482901
high,without_preference,trust_variance,0.074618,0.001413,50,0.074226,0.075010
high,without_preference,avg_preference,0.580874,0.005893,50,0.579240,0.582507
high,without_preference,avg_reciprocity,0.589163,0.015017,50,0.585001,0.593325
high,without_preference,avg_privacy_risk,0.442319,0.008839,50,0.439869,0.444770
high,without_preference,avg_total_utility,0.707263,0.002780,50,0.706492,0.708033
high,without_preference,avg_system_utility,0.747246,0.001633,50,0.746793,0.747699
high,without_preference,avg_social_utility,0.521435,0.004509,50,0.520185,0.522685
high,without_preference,avg_resource_utility,0.981839,0.000094,50,0.981813,0.981865
high,without_preference,avg_privacy_utility,0.533198,0.006826,50,0.531306,0.535091
high,without_preference,avg_incentive_utility,0.787883,0.004559,50,0.786619,0.789147
high,without_preference,energy_consumed,0.061705,0.000777,50,0.061490,0.061921
high,without_preference,bandwidth_consumed,0.262111,0.003473,50,0.261149,0.263074
high,without_preference,compute_consumed,0.349609,0.005039,50,0.348212,0.351005
high,without_preference,throughput_mbps,38.653120,0.707433,50,38.457030,38.849210
high,without_preference,packet_delivery_ratio,0.723417,0.009925,50,0.720665,0.726168
high,without_preference,e2e_delay_ms,96.466377,0.605631,50,96.298505,96.634249
high,without_preference,active_nodes,49.997880,0.004148,50,49.996730,49.999030
low,without_preference,generated_tasks,1.497520,0.018903,50,1.492280,1.502760
low,without_preference,completed_tasks,1.221120,0.031294,50,1.212446,1.229794
low,without_preference,attempted_interactions,1.497000,0.018975,50,1.491740,1.502260
low,without_preference,successful_cooperations,1.221120,0.031294,50,1.212446,1.229794
low,without_preference,failed_interactions,0.275880,0.023409,50,0.269391,0.282369
low,without_preference,blocked_privacy_interactions,0.000520,0.001129,50,0.000207,0.000833
low,without_preference,cooperation_rate,0.816460,0.017444,50,0.811625,0.821295
low,without_preference,task_completion_ratio,0.816340,0.017400,50,0.811517,0.821163
low,without_preference,reliability_score,0.816340,0.017400,50,0.811517,0.821163
low,without_preference,resource_efficiency,0.800860,0.017037,50,0.796138,0.805582
low,without_preference,fairness_index,0.748435,0.024401,50,0.741671,0.755198
low,without_preference,trust_stability_index,0.794876,0.005669,50,0.793305,0.796447
low,without_preference,privacy_exposure_risk,0.320472,0.006548,50,0.318657,0.322287
low,without_preference,candidate_privacy_risk,0.373883,0.008974,50,0.371395,0.376370
low,without_preference,accepted_privacy_exposure,0.320472,0.006548,50,0.318657,0.322287
low,without_preference,avg_trust,0.574475,0.007841,50,0.572301,0.576648
low,without_preference,trust_variance,0.051281,0.001417,50,0.050888,0.051674
low,without_preference,avg_preference,0.610772,0.006731,50,0.608907,0.612638
low,without_preference,avg_reciprocity,0.644359,0.018308,50,0.639285,0.649434
low,without_preference,avg_privacy_risk,0.320422,0.006606,50,0.318590,0.322253
low,without_preference,avg_total_utility,0.753322,0.003232,50,0.752426,0.754217
low,without_preference,avg_system_utility,0.812622,0.002096,50,0.812041,0.813203
low,without_preference,avg_social_utility,0.526640,0.005629,50,0.525080,0.528200
low,without_preference,avg_resource_utility,0.988667,0.000617,50,0.988496,0.988838
low,without_preference,avg_privacy_utility,0.679328,0.006660,50,0.677482,0.681174
low,without_preference,avg_incentive_utility,0.795378,0.006064,50,0.793698,0.797059
