model,attack,fraction,defense,load,run_id,adaptive_mu,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes,reputation_honest,reputation_attacker,reputation_separation,attacker_defection_rate,whitewash_events,decision_distortion,decision_distortion_evidenced,decision_distortion_counterfactual,decision_distortion_counterfactual_evidenced
greedy_utility,bad_mouthing,0.1,True,high,36,True,7.024000,5.090000,7.024000,5.090000,1.934000,0.000000,0.726119,0.726119,0.726119,0.703284,0.930655,0.742572,0.500000,0.500000,0.500000,0.622792,0.064357,0.664070,0.703447,0.500000,0.804372,0.749168,0.623121,0.981677,0.500000,0.601234,0.065148,0.279006,0.369757,40.720000,0.726119,96.732497,50.000000,0.660940,0.863003,-0.202064,0.000000,0.000000,0.085217,0.075422,0.097048,0.093928
greedy_utility,bad_mouthing,0.1,True,high,37,True,6.998000,5.078000,6.998000,5.078000,1.920000,0.000000,0.725024,0.725024,0.725024,0.702443,0.929993,0.749203,0.500000,0.500000,0.500000,0.621324,0.062699,0.662487,0.706877,0.500000,0.804125,0.748320,0.622257,0.981807,0.500000,0.601009,0.065170,0.276231,0.364311,40.624000,0.725024,97.790292,50.000000,0.737350,0.813794,-0.076444,0.000000,0.000000,0.081241,0.063769,0.091146,0.082119
greedy_utility,bad_mouthing,0.1,True,high,38,True,6.982000,5.090000,6.982000,5.090000,1.892000,0.000000,0.728607,0.728607,0.728607,0.705942,0.926475,0.758538,0.500000,0.500000,0.500000,0.626147,0.060366,0.664380,0.699659,0.500000,0.807163,0.751917,0.626609,0.981836,0.500000,0.601618,0.064667,0.273335,0.365567,40.720000,0.728607,96.752014,50.000000,0.713927,0.835668,-0.121740,0.000000,0.000000,0.078284,0.066719,0.088471,0.083354
greedy_utility,bad_mouthing,0.1,True,high,39,True,7.004000,5.140000,7.004000,5.140000,1.864000,0.000000,0.735202,0.735202,0.735202,0.712208,0.931798,0.758469,0.500000,0.500000,0.500000,0.637218,0.060383,0.674859,0.724498,0.500000,0.802216,0.746685,0.620237,0.981776,0.500000,0.600847,0.064847,0.275726,0.367145,41.120000,0.735202,97.109706,50.000000,0.717668,0.804831,-0.087163,0.000000,0.000000,0.071174,0.053314,0.077927,0.064374
greedy_utility,bad_mouthing,0.1,True,high,4,True,6.990000,5.036000,6.990000,5.036000,1.954000,0.000000,0.720810,0.720810,0.720810,0.698309,0.919975,0.737775,0.500000,0.500000,0.500000,0.607623,0.065556,0.652572,0.681092,0.500000,0.806273,0.750647,0.623773,0.981770,0.500000,0.601353,0.064811,0.275037,0.368330,40.288000,0.720810,97.989907,50.000000,0.687866,0.695163,-0.007298,0.000000,0.000000,0.077627,0.070853,0.091694,0.093850
greedy_utility,bad_mouthing,0.1,True,high,40,True,6.990000,4.986000,6.990000,4.986000,2.004000,0.000000,0.713226,0.713226,0.713226,0.691023,0.917218,0.742025,0.500000,0.500000,0.500000,0.614661,0.064494,0.659648,0.695063,0.500000,0.802609,0.746711,0.619771,0.981870,0.500000,0.600785,0.064516,0.272727,0.367133,39.888000,0.713226,97.846339,50.000000,0.668518,0.837933,-0.169415,0.000000,0.000000,0.079126,0.068459,0.091737,0.087023
greedy_utility,bad_mouthing,0.1,True,high,41,True,7.028000,4.980000,7.028000,4.980000,2.048000,0.000000,0.707964,0.707964,0.707964,0.685741,0.922427,0.735459,0.500000,0.500000,0.500000,0.619236,0.066135,0.665347,0.713941,0.500000,0.802495,0.746869,0.621488,0.981698,0.500000,0.600838,0.065547,0.279210,0.368825,39.840000,0.707964,97.412867,50.000000,0.695909,0.585461,0.110448,0.000000,0.000000,0.079910,0.069554,0.091188,0.088949
greedy_utility,bad_mouthing,0.1,True,high,42,True,7.066000,5.154000,7.066000,5.154000,1.912000,0.000000,0.730452,0.730452,0.730452,0.707503,0.923002,0.742154,0.500000,0.500000,0.500000,0.618856,0.064462,0.661849,0.699743,0.500000,0.806592,0.751143,0.625538,0.981693,0.500000,0.601446,0.065628,0.279061,0.373900,41.232000,0.730452,97.551154,50.000000,0.742504,0.793070,-0.050566,0.000000,0.000000,0.078016,0.057271,0.086167,0.071243
greedy_utility,bad_mouthing,0.1,True,high,43,True,6.990000,4.956000,6.990000,4.956000,2.034000,0.000000,0.709298,0.709298,0.709298,0.687087,0.923714,0.729457,0.500000,0.500000,0.500000,0.605444,0.067636,0.650255,0.689465,0.500000,0.805203,0.749291,0.623478,0.981742,0.500000,0.601104,0.064660,0.278400,0.364359,39.648000,0.709298,98.072783,50.000000,0.757299,0.826505,-0.069206,0.000000,0.000000,0.084817,0.063000,0.090869,0.074594
greedy_utility,bad_mouthing,0.1,True,high,44,True,7.022000,5.108000,7.022000,5.108000,1.914000,0.000000,0.726345,0.726345,0.726345,0.703587,0.940963,0.743304,0.500000,0.500000,0.500000,0.623752,0.064174,0.663408,0.707599,0.500000,0.804908,0.749883,0.624249,0.981760,0.500000,0.601383,0.064920,0.274214,0.372805,40.864000,0.726345,96.516363,50.000000,0.743193,0.858960,-0.115767,0.000000,0.000000,0.075905,0.063370,0.087152,0.079653
greedy_utility,bad_mouthing,0.1,True,high,45,True,6.968000,5.072000,6.968000,5.072000,1.896000,0.000000,0.728869,0.728869,0.728869,0.705955,0.920983,0.762456,0.500000,0.500000,0.500000,0.643412,0.059386,0.675404,0.715152,0.500000,0.805678,0.750536,0.623958,0.981693,0.500000,0.601433,0.064469,0.275170,0.368612,40.576000,0.728869,96.639518,50.000000,0.758169,0.854502,-0.096333,0.000000,0.000000,0.080249,0.062201,0.091480,0.080095
greedy_utility,bad_mouthing,0.1,True,high,46,True,7.034000,5.064000,7.034000,5.064000,1.970000,0.000000,0.721393,0.721393,0.721393,0.699194,0.943242,0.745433,0.500000,0.500000,0.500000,0.629599,0.063642,0.670695,0.707631,0.500000,0.806458,0.751672,0.624953,0.982062,0.500000,0.601725,0.064356,0.272262,0.363987,40.512000,0.721393,96.051995,50.000000,0.737547,0.590429,0.147119,0.000000,0.000000,0.083041,0.060857,0.090241,0.074058
greedy_utility,bad_mouthing,0.1,True,high,47,True,7.018000,5.112000,7.018000,5.112000,1.906000,0.000000,0.728155,0.728155,0.728155,0.705403,0.929805,0.743406,0.500000,0.500000,0.500000,0.623038,0.064149,0.664431,0.705617,0.500000,0.805105,0.749705,0.623482,0.981798,0.500000,0.601283,0.065039,0.274662,0.369930,40.896000,0.728155,96.987950,50.000000,0.656475,0.841051,-0.184576,0.000000,0.000000,0.081812,0.063301,0.090845,0.081368
greedy_utility,bad_mouthing,0.1,True,high,48,True,6.946000,5.116000,6.946000,5.116000,1.830000,0.000000,0.737750,0.737750,0.737750,0.714952,0.937704,0.752590,0.500000,0.500000,0.500000,0.641570,0.061853,0.680080,0.733216,0.500000,0.807144,0.752292,0.625902,0.981957,0.500000,0.601776,0.064748,0.272053,0.358756,40.928000,0.737750,96.124577,50.000000,0.707526,0.828900,-0.121374,0.000000,0.000000,0.077897,0.060075,0.087609,0.076017
greedy_utility,bad_mouthing,0.1,True,high,49,True,7.102000,5.074000,7.102000,5.074000,2.028000,0.000000,0.713512,0.713512,0.713512,0.691215,0.924573,0.743552,0.500000,0.500000,0.500000,0.622684,0.064112,0.662696,0.698338,0.500000,0.802753,0.747427,0.621559,0.981787,0.500000,0.600994,0.065792,0.278348,0.373681,40.592000,0.713512,96.547024,50.000000,0.687757,0.846502,-0.158744,0.000000,0.000000,0.073750,0.060131,0.085904,0.080756
greedy_utility,bad_mouthing,0.1,True,high,5,True,6.980000,5.032000,6.980000,5.032000,1.948000,0.000000,0.722036,0.722036,0.722036,0.699626,0.913884,0.744762,0.500000,0.500000,0.500000,0.632329,0.063810,0.674259,0.716029,0.500000,0.804785,0.749656,0.622604,0.981968,0.500000,0.601364,0.063680,0.268768,0.366925,40.256000,0.722036,96.393135,50.000000,0.736053,0.734414,0.001639,0.000000,0.000000,0.072063,0.054825,0.083836,0.073113
greedy_utility,bad_mouthing,0.1,True,high,6,True,7.018000,5.050000,7.018000,5.050000,1.968000,0.000000,0.722095,0.722095,0.722095,0.699474,0.928905,0.739852,0.500000,0.500000,0.500000,0.617174,0.065037,0.659944,0.705698,0.500000,0.805543,0.749944,0.624474,0.981755,0.500000,0.601263,0.065059,0.278080,0.367753,40.400000,0.722095,97.501993,50.000000,0.738919,0.699613,0.039306,0.000000,0.000000,0.076586,0.060396,0.087945,0.079257
